experience,egg,mandible,hardhat,knight,papillosaur,startLife,hasGlove,hasGlove2,hasBomb,pitfalls,spikes,grass,whiteRock,inside,surface,finished,swordHits,bombUsage,explodeHits,thrownHits,time,dirChange,lifeLost,clangs,uselessKeys,moving,standing,percStanding,avgAggro,killEgg,killMandible,killHardhat,killKnight,free,freezed,grabbing,hurt,stairs,loading,spin,swing,tap,carry,lift,treasure,useItem,falling,backOnFeet,prediction,intention,reported
2,1,0,0,0,0,24,0,0,0,0,0,0,0,0,304,1,3,0,0,0,6,6,0,0,0,11,21,0.65625,0.5625,1,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2.481509375,1,1
2,0,1,0,0,0,24,0,0,0,0,0,0,0,0,172,1,3,0,0,0,7,8,2,0,0,15,17,0.53125,0.46875,0,1,0,0,3,0,0,1,0,0,0,11,0,0,0,0,0,0,0,2.587840625,1,2
2,0,0,1,0,0,22,0,0,0,0,0,0,0,0,184,1,3,0,0,0,8,11,0,0,0,31,12,0.27906976744186,0.44186046511628,0,0,1,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2.2665674418605,1,2
2,0,0,0,1,0,22,0,0,0,0,0,0,0,0,228,1,3,0,0,0,4,5,2,0,0,6,12,0.66666666666667,0.72222222222222,0,0,0,1,2,0,0,1,0,0,0,13,0,0,0,0,0,0,0,2.6666,1,3
2,0,0,1,1,0,20,0,0,0,0,0,0,0,0,244,1,6,0,0,0,12,15,4,3,0,34,26,0.43333333333333,0.8,0,0,1,1,9,0,0,2,0,0,0,26,0,0,0,0,0,0,0,2.8984033333333,3.0348674418605,3
2,1,1,1,1,0,20,0,0,0,0,0,4,0,0,304,1,12,0,0,0,20,34,4,0,0,69,31,0.31,1.07,1,1,1,1,11,0,0,2,0,0,0,39,0,0,0,0,0,0,0,3.283723,4.1370373062016,3
2,2,3,2,1,0,16,0,0,0,0,0,4,0,0,304,0,21,0,0,0,23,27,0,0,0,47,66,0.58407079646018,1.3628318584071,2,3,1,1,10,0,0,0,0,0,0,48,0,0,0,0,0,0,0,4.5838672566372,6.1121084572472,4
2,5,1,0,0,0,16,0,0,0,0,0,0,4,0,260,1,18,0,0,0,16,15,4,0,0,64,15,0.18987341772152,1.379746835443,5,1,0,0,6,0,0,2,0,0,0,39,0,0,0,0,0,0,0,3.7141949367089,3.0126762529909,4
2,1,1,1,1,0,12,0,0,0,8,18,4,0,1,204,1,12,0,0,0,15,19,0,0,0,33,40,0.54794520547945,0.9041095890411,1,1,1,1,8,0,0,0,0,0,0,31,0,0,0,0,0,0,0,3.0888315068493,4.5748260523351,4
2,3,3,0,1,0,12,0,0,0,20,6,4,0,1,200,1,21,0,0,0,10,9,4,0,0,16,32,0.66666666666667,2.5625,3,3,0,1,4,0,0,2,0,0,0,30,0,0,0,0,0,0,0,4.1412541666667,5.0364972155721,4
2,2,2,1,4,0,20,0,0,0,20,22,0,0,1,200,1,27,0,0,0,36,26,14,34,0,129,52,0.28729281767956,1.7513812154696,2,2,1,4,20,0,0,7,0,0,0,117,0,0,0,0,0,0,0,5.2682635359116,6.0068949202979,6
2,2,1,0,0,0,6,0,0,0,26,18,0,0,1,304,1,9,0,0,0,14,11,2,0,0,20,48,0.70588235294118,0.88235294117647,2,1,0,0,4,0,0,1,0,0,0,34,0,0,0,0,0,0,0,3.0976058823529,3.0339626181627,3
2,4,1,2,4,0,4,0,0,1,26,18,0,0,1,304,-1,1,1,0,0,6,11,2,2,0,12,17,0.58620689655172,3.0689655172414,0,0,0,0,2,0,0,2,0,0,0,4,0,0,0,0,1,0,0,4.0619482758621,7.1938601499077,6
