experience,egg,mandible,hardhat,knight,papillosaur,startLife,hasGlove,hasGlove2,hasBomb,pitfalls,spikes,grass,whiteRock,inside,surface,finished,swordHits,bombUsage,explodeHits,thrownHits,time,dirChange,lifeLost,clangs,uselessKeys,moving,standing,percStanding,avgAggro,killEgg,killMandible,killHardhat,killKnight,free,freezed,grabbing,hurt,stairs,loading,spin,swing,tap,carry,lift,treasure,useItem,falling,backOnFeet,prediction,intention,reported
0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,204,1,3,0,0,0,15,19,10,0,0,37,35,0.48611111111111,0.73611111111111,1,0,0,0,7,0,0,5,0,0,0,7,0,0,0,0,0,0,0,3.1823986111111,1,3
0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,88,1,3,0,0,0,7,7,4,0,0,13,20,0.60606060606061,0.66666666666667,0,1,0,0,3,0,0,2,0,0,0,11,0,0,0,0,0,0,0,2.7852242424242,1,2
0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,152,1,3,0,0,0,9,7,0,0,0,14,28,0.66666666666667,0.5952380952381,0,0,1,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2.470280952381,1,1
0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,96,1,3,0,0,0,6,4,2,0,0,10,17,0.62962962962963,0.62962962962963,0,0,0,1,2,0,0,1,0,0,0,9,0,0,0,0,0,0,0,2.6388962962963,1,2
0,0,0,1,1,0,8,0,0,0,0,0,4,0,0,292,1,6,0,0,0,16,19,0,0,0,31,50,0.61728395061728,0.48148148148148,0,0,1,1,7,0,0,2,0,1,0,17,0,0,0,0,0,0,0,3.2636469135802,3.2108772486772,2
0,0,2,2,0,0,12,0,0,0,0,0,4,0,0,264,1,12,0,0,0,16,15,4,0,0,27,53,0.6625,1.25,0,2,2,0,8,0,0,2,0,3,0,12,3,0,0,0,0,0,0,4.27111875,4.8820724707391,2
0,0,2,1,2,0,8,0,0,0,0,0,0,4,0,272,-1,12,0,0,0,13,12,6,1,0,16,50,0.75757575757576,1.3787878787879,0,1,1,2,7,0,0,4,0,1,0,25,0,0,0,0,0,0,0,5.7611575757576,5.3367053760119,4
0,1,0,0,0,0,24,0,0,0,6,12,0,0,1,204,1,3,0,0,0,7,5,0,0,0,8,19,0.7037037037037,0.55555555555556,1,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2.5171814814815,1,1
0,0,1,0,0,0,24,0,0,1,6,12,0,0,1,204,1,3,0,0,0,4,4,2,0,0,2,19,0.9047619047619,0.9047619047619,0,1,0,0,3,0,0,1,0,0,0,7,0,0,0,0,0,0,0,2.791019047619,1,2
0,0,0,1,0,0,22,0,0,1,18,30,4,0,1,256,1,3,0,0,0,8,8,6,0,0,16,26,0.61904761904762,0.9047619047619,0,0,1,0,6,0,0,2,0,0,0,4,0,0,0,0,0,1,1,2.761719047619,1,2
0,0,0,0,1,0,20,0,0,1,4,28,4,0,1,236,1,3,0,0,0,7,6,2,0,0,8,22,0.73333333333333,0.5,0,0,0,1,3,0,0,1,0,0,0,11,0,0,0,0,0,0,0,2.7052333333333,1,2
0,1,1,2,3,0,18,0,0,1,4,10,4,0,1,232,1,21,0,0,0,35,30,6,8,0,45,130,0.74285714285714,0.92571428571429,1,1,2,3,16,0,0,7,0,0,0,89,0,0,0,0,0,0,0,4.9591388571429,7.5575386243386,3
0,3,1,1,0,0,12,0,0,1,16,10,0,0,1,264,1,15,0,0,0,24,25,6,0,0,45,73,0.61864406779661,1.1016949152542,3,1,1,0,12,0,0,3,0,1,0,43,0,0,0,0,0,0,0,4.0823788135593,4.0120057509158,4
0,2,2,1,2,0,10,0,0,1,36,8,0,0,1,216,-1,20,0,0,0,24,15,8,2,0,32,86,0.72881355932203,1.3474576271186,2,2,1,1,13,0,0,4,0,1,1,42,0,0,0,0,0,0,1,6.3289966101695,5.0351973012686,4
0,0,0,0,0,0,24,0,0,1,12,8,4,0,1,272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8983,2.1123770815338,1
0,1,1,2,5,0,24,0,0,1,6,6,0,0,1,384,1,27,0,0,0,30,26,12,25,0,46,98,0.68055555555556,2.1736111111111,1,1,2,5,20,0,0,8,0,0,0,76,0,0,0,0,0,0,0,5.5596138888889,6.2304766394525,4
0,0,0,0,0,0,12,0,0,1,2,28,0,0,1,220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8983,2.0747516098401,1
0,2,0,4,1,0,12,0,0,1,8,10,4,0,1,224,-1,14,0,0,0,20,15,10,3,0,28,72,0.72,1.67,2,0,2,0,15,0,0,5,0,0,0,39,0,0,0,0,0,1,1,5.728538,4.2058137682465,5
0,2,4,0,2,0,24,0,0,1,2,14,0,0,1,256,1,24,0,0,0,25,21,12,7,0,43,78,0.64462809917355,1.6859504132231,2,4,0,2,12,0,0,6,0,0,0,61,0,0,0,0,0,0,0,5.0277809917355,7.0770045968558,4
0,0,0,4,2,0,10,0,0,1,10,18,0,0,1,220,-1,13,0,0,0,12,8,8,5,0,19,38,0.66666666666667,2.2982456140351,0,0,1,1,8,0,0,4,0,0,0,20,0,0,0,0,0,0,1,5.4654245614035,5.2159931118123,5
0,4,0,3,5,0,24,0,0,1,12,18,0,0,1,180,-1,26,0,0,0,30,27,22,34,0,27,119,0.81506849315068,2.4041095890411,1,0,3,4,21,0,0,12,0,0,0,90,0,0,0,0,0,0,2,7.8214938356164,7.0737480988794,6
