experience,egg,mandible,hardhat,knight,papillosaur,startLife,hasGlove,hasGlove2,hasBomb,pitfalls,spikes,grass,whiteRock,inside,surface,finished,swordHits,bombUsage,explodeHits,thrownHits,time,dirChange,lifeLost,clangs,uselessKeys,moving,standing,percStanding,avgAggro,killEgg,killMandible,killHardhat,killKnight,free,freezed,grabbing,hurt,stairs,loading,spin,swing,tap,carry,lift,treasure,useItem,falling,backOnFeet,prediction,intention,reported
0,1,0,0,0,0,24,0,0,0,16,4,4,0,1,240,1,3,0,0,0,7,4,0,0,0,8,24,0.75,0.46875,1,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2.54298125,1,1
0,0,1,0,0,0,24,0,0,0,18,18,0,0,1,272,1,3,0,0,0,8,8,0,0,0,11,30,0.73170731707317,0.39024390243902,0,1,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2.5241073170732,1,1
0,0,0,1,0,0,24,0,0,0,18,8,0,0,1,244,1,3,0,0,0,7,5,2,0,0,12,21,0.63636363636364,0.63636363636364,0,0,1,0,6,0,0,1,0,0,0,8,0,0,0,0,0,0,0,2.6339272727273,1,2
0,0,0,0,1,0,22,0,0,0,18,18,0,0,1,272,1,3,0,0,0,10,11,2,0,0,12,36,0.75,0.27083333333333,0,0,0,1,1,0,0,1,0,0,0,11,0,0,0,0,0,0,0,2.7032375,1,2
0,0,1,0,0,0,20,0,0,0,18,8,0,0,1,244,1,3,0,0,0,10,5,2,0,0,12,38,0.76,0.42,0,1,0,0,5,0,0,1,0,0,0,18,0,0,0,0,0,0,0,2.693588,2.5241073170732,2
0,1,1,0,0,0,18,0,0,1,18,8,0,0,1,244,1,6,1,0,0,20,14,8,0,1,37,67,0.64423076923077,0.75961538461538,1,1,0,0,8,0,0,4,0,0,0,21,0,0,0,0,1,0,0,3.2901336538462,3.2535289085366,4
0,1,2,0,0,0,10,0,0,1,22,20,4,0,1,204,1,9,0,0,0,14,10,-2,0,0,29,46,0.61333333333333,0.84,1,2,0,0,3,0,0,1,0,0,0,45,0,0,0,0,0,0,0,3.0454093333333,4.0059105617127,3
0,5,2,1,1,0,16,0,0,1,10,12,4,0,1,220,1,27,0,0,0,46,14,4,0,0,14,210,0.9375,0.83928571428571,5,2,1,1,8,0,0,2,0,0,0,122,0,0,0,0,0,0,0,4.5578633928571,6.2687619797642,3
0,0,0,0,0,0,12,0,0,1,18,4,0,0,1,248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8983,2.2903367973506,1
0,0,0,0,0,1,12,0,0,1,0,0,0,0,1,3744,-1,0,4,2,0,83,70,10,0,0,227,187,0.45169082125604,5.4855072463768,0,0,0,0,21,0,0,6,0,0,0,100,0,3,3,0,4,0,0,4.0895089371981,6,6
