experience,egg,mandible,hardhat,knight,papillosaur,startLife,hasGlove,hasGlove2,hasBomb,pitfalls,spikes,grass,whiteRock,inside,surface,finished,swordHits,bombUsage,explodeHits,thrownHits,time,dirChange,lifeLost,clangs,uselessKeys,moving,standing,percStanding,avgAggro,killEgg,killMandible,killHardhat,killKnight,free,freezed,grabbing,hurt,stairs,loading,spin,swing,tap,carry,lift,treasure,useItem,falling,backOnFeet,prediction,intention,reported
2,1,0,0,0,0,24,0,0,0,0,0,0,0,0,196,1,3,0,0,0,15,16,0,0,0,39,33,0.45833333333333,0.38888888888889,1,0,0,0,4,0,1,0,0,0,0,19,0,0,0,0,0,0,0,2.3406041666667,1,1
2,0,1,0,0,0,24,0,0,0,0,0,0,0,0,188,1,3,0,0,0,7,7,4,0,0,23,11,0.32352941176471,0.55882352941176,0,1,0,0,3,0,0,2,0,0,0,12,0,0,0,0,0,0,0,2.6305617647059,1,3
2,1,0,0,0,0,16,0,0,0,0,0,0,0,0,72,1,3,0,0,0,6,7,2,0,0,12,19,0.61290322580645,0.58064516129032,1,0,0,0,2,0,0,1,0,0,0,11,0,0,0,0,0,0,0,2.6275161290323,2.3406041666667,2
2,2,0,0,0,0,14,0,0,0,0,0,0,0,0,156,1,6,0,0,0,8,9,4,0,0,22,18,0.45,1.625,2,0,0,0,3,0,0,2,0,0,0,14,0,0,0,0,0,0,0,2.86195,3.0698202956989,4
2,1,1,1,0,0,10,0,0,0,18,12,4,0,1,200,1,9,0,0,0,13,12,4,0,0,18,47,0.72307692307692,0.83076923076923,1,1,1,0,5,0,0,2,0,0,0,34,0,0,0,0,0,0,0,3.2860938461538,4.3884191907812,4
2,3,3,2,1,0,14,0,0,0,14,6,0,0,1,192,1,27,0,0,0,41,29,8,17,0,48,156,0.76470588235294,1.1323529411765,3,3,2,1,22,0,0,4,0,0,0,131,0,0,0,0,0,0,0,4.8839441176471,6.244430489077,4
2,0,0,0,0,0,6,0,0,0,12,6,4,0,1,180,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8983,2.3861213111611,1
2,0,0,0,1,0,6,0,0,0,18,8,0,0,1,184,1,3,0,0,0,7,6,4,1,0,20,14,0.41176470588235,0.55882352941176,0,0,0,1,3,0,0,2,0,0,0,12,0,0,0,0,0,0,0,2.6810941176471,3.0535247314199,2
2,2,1,1,1,0,2,0,0,1,18,8,0,0,1,184,-1,0,1,0,0,1,0,0,0,0,2,5,0.71428571428571,0.28571428571429,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4.1360428571429,4.0400749120204,6
2,5,0,1,0,0,24,0,0,1,18,8,0,0,1,248,1,9,6,5,0,21,21,6,0,0,40,65,0.61904761904762,1.0666666666667,5,0,1,0,16,0,0,3,0,0,0,30,0,3,3,0,6,0,0,3.4087933333333,4.1076486757607,3
2,0,1,2,2,0,16,0,0,1,8,18,0,0,1,216,1,15,0,0,0,26,25,10,10,0,53,76,0.58914728682171,1.3255813953488,0,1,2,2,14,0,0,4,0,0,0,65,0,0,0,0,0,1,1,3.9362821705426,5.1034111310215,4
2,0,0,0,0,0,6,0,0,1,20,6,0,0,1,192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8983,2.3342506657734,1
2,1,1,1,0,0,6,0,0,1,26,20,0,0,1,244,1,9,0,0,0,17,14,2,0,0,25,58,0.69879518072289,0.68674698795181,1,1,1,0,7,0,0,1,0,0,0,29,0,0,0,0,0,0,0,3.0863915662651,3.1479902851274,2
2,0,0,0,0,0,2,0,0,1,14,6,0,0,1,232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8983,2.271327230879,1
2,5,0,2,2,0,2,0,0,1,26,20,0,0,1,244,-1,5,0,0,0,4,2,0,2,0,4,13,0.76470588235294,2.2352941176471,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,4.4123529411765,5.0070087640129,3
2,3,3,1,1,0,24,0,0,1,0,0,0,0,0,272,1,24,0,0,0,22,20,0,0,0,34,74,0.68518518518519,1.4907407407407,3,3,1,1,9,0,0,0,0,0,0,69,0,0,0,0,0,0,0,4.0515851851852,5.0922280354388,1
