experience,egg,mandible,hardhat,knight,papillosaur,startLife,hasGlove,hasGlove2,hasBomb,pitfalls,spikes,grass,whiteRock,inside,surface,finished,swordHits,bombUsage,explodeHits,thrownHits,time,dirChange,lifeLost,clangs,uselessKeys,moving,standing,percStanding,avgAggro,killEgg,killMandible,killHardhat,killKnight,free,freezed,grabbing,hurt,stairs,loading,spin,swing,tap,carry,lift,treasure,useItem,falling,backOnFeet,prediction,intention,reported
1,1,0,0,0,0,24,0,0,0,0,0,0,0,0,140,1,3,0,0,0,8,12,2,0,0,19,16,0.45714285714286,0.6,1,0,0,0,2,0,0,1,0,0,0,16,0,0,0,0,0,0,0,2.0214742857143,1,4
1,0,1,0,0,0,22,0,0,0,0,0,0,0,0,100,1,3,0,0,0,6,2,2,0,0,7,17,0.70833333333333,0.5,0,1,0,0,2,0,0,1,0,0,0,12,0,0,0,0,0,0,0,2.2279458333333,1,2
1,0,0,1,0,0,20,0,0,0,0,0,0,0,0,188,1,3,0,0,0,9,11,4,0,0,16,25,0.60975609756098,0.58536585365854,0,0,1,0,5,0,0,2,0,0,0,14,0,0,0,0,0,0,0,2.4648268292683,1,4
1,2,1,0,0,0,16,0,0,0,0,0,0,0,0,112,1,9,0,0,0,7,1,4,0,0,5,30,0.85714285714286,1.8571428571429,2,1,0,0,4,0,0,2,0,0,0,26,0,0,0,0,0,0,0,2.7595142857143,3.6044944047619,4
1,4,2,2,1,0,12,0,0,0,0,0,4,0,0,244,1,27,0,0,0,33,32,6,0,0,58,103,0.63975155279503,1.3664596273292,4,2,2,1,16,0,0,3,0,1,0,69,1,0,0,0,0,0,0,3.8505360248447,7.3315441585366,6
1,1,0,1,1,0,14,0,0,0,0,0,0,0,0,384,1,9,0,0,0,14,18,2,0,1,62,9,0.12676056338028,1.2253521126761,1,0,1,1,6,0,0,1,0,0,0,37,0,0,0,0,0,0,0,2.2451112676056,6.4766056951635,4
1,3,1,1,2,0,12,0,0,0,0,0,4,0,0,280,1,21,0,0,0,21,19,2,4,0,31,68,0.68686868686869,1.4949494949495,3,1,1,2,7,0,0,1,0,0,0,70,0,0,0,0,0,0,0,2.9231777777778,3.003116763116,4
1,2,2,3,3,0,10,0,0,0,0,0,4,0,0,220,1,30,0,0,0,47,50,8,18,0,133,76,0.36363636363636,1.3732057416268,2,2,3,3,19,0,0,4,0,1,0,164,1,0,0,0,0,0,0,4.1618,4.0063316546422,7
1,2,3,4,5,0,10,0,0,0,0,0,0,4,0,244,-1,25,0,0,0,39,19,8,23,1,36,155,0.81151832460733,1.3560209424084,1,1,3,3,15,0,0,5,0,1,0,153,1,0,0,0,0,0,0,5.7651219895288,5.0148708193721,9
1,0,1,0,0,0,22,0,0,0,32,10,4,0,1,220,1,3,0,0,0,6,10,0,0,0,8,23,0.74193548387097,0.58064516129032,0,1,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2.0302741935484,2.4583048960811,2
1,21,6,3,10,0,22,0,0,0,6,0,0,0,1,248,1,120,0,0,0,104,85,20,68,12,263,240,0.47713717693837,2.1312127236581,21,6,3,10,32,0,0,12,0,0,0,400,0,0,0,0,0,0,0,8.0654115308151,7.0003302177608,7
1,1,1,1,2,0,2,0,0,1,6,0,0,0,1,248,-1,0,2,0,0,4,5,0,0,0,10,6,0.375,2.0625,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3.7433125,3.019454208135,6
1,3,1,0,3,0,24,0,0,1,20,8,0,0,1,208,1,21,0,0,0,26,19,4,17,0,48,78,0.61904761904762,1.484126984127,3,1,0,3,13,0,0,4,0,0,0,115,0,0,0,0,0,0,0,3.3984047619048,3.0790007408722,6
1,12,3,1,2,0,20,0,0,1,4,24,0,0,1,296,1,52,4,0,0,43,25,12,20,0,103,100,0.49261083743842,2.2807881773399,12,3,1,2,19,0,0,6,0,0,0,158,0,0,0,0,4,0,0,5.0977645320197,4.0024530814531,8
1,6,2,3,6,0,24,0,0,1,18,16,0,0,1,208,-1,48,0,0,0,67,55,22,13,0,115,212,0.64831804281346,1.0489296636086,5,2,3,6,28,0,0,12,0,0,0,223,0,0,0,0,0,0,0,7.9633070336391,5.1410511991803,9
1,4,1,2,1,0,24,0,0,1,14,0,4,0,1,204,1,24,0,0,0,16,6,4,0,0,37,34,0.47887323943662,2.7464788732394,4,1,2,1,9,0,0,2,0,0,0,57,0,0,0,0,0,0,0,3.2446647887324,5.0685080900112,7
1,2,3,2,3,0,20,0,0,1,18,22,0,0,1,204,1,29,4,1,0,33,23,12,0,0,84,77,0.47826086956522,1.2670807453416,2,3,2,3,25,0,0,6,0,0,0,91,0,0,0,0,4,0,0,4.923552173913,7.3497962789306,8
1,2,6,0,1,0,8,0,0,1,18,22,0,0,1,204,-1,26,0,0,0,29,14,6,18,0,26,116,0.8169014084507,1.6830985915493,2,6,0,0,10,0,0,4,0,0,0,106,0,0,0,0,0,0,0,5.4512281690141,3.0152479712899,7
1,1,0,1,0,0,24,0,0,1,6,22,4,0,1,284,1,6,0,0,0,10,12,4,0,0,40,9,0.18367346938776,0.85714285714286,1,0,1,0,6,0,0,2,0,0,0,25,0,0,0,0,0,0,0,2.3323530612245,3.2705137320791,5
1,1,0,1,3,0,24,0,0,1,10,8,0,0,1,172,1,15,0,0,0,24,34,4,7,0,55,60,0.52173913043478,1.0521739130435,1,0,1,3,16,0,0,4,0,3,0,81,0,0,0,0,0,0,0,3.425547826087,4.2731136670496,6
1,2,0,3,1,0,20,0,0,1,6,22,4,0,1,284,1,18,0,0,0,18,29,2,0,0,48,39,0.44827586206897,1.5632183908046,2,0,3,1,7,0,0,3,0,0,0,53,0,0,0,0,0,0,0,2.7436517241379,5.2282124096961,6
1,1,5,1,2,0,22,0,0,1,6,22,4,0,1,284,1,27,0,0,0,36,24,4,14,1,64,111,0.63428571428571,1.4742857142857,1,5,1,2,12,0,0,2,0,0,0,121,0,0,0,0,0,0,0,3.3923605714286,6.22448010257,7
1,1,0,1,2,0,18,0,0,1,10,8,0,0,1,172,1,12,0,0,0,22,9,6,28,1,19,88,0.82242990654206,1.5981308411215,1,0,1,2,13,0,0,3,0,0,0,86,0,0,0,0,0,0,0,3.3902560747664,3.0180099644396,7
1,1,1,2,3,0,12,0,0,1,6,22,4,0,1,284,-1,18,0,0,0,22,22,10,13,1,85,23,0.21296296296296,1.5648148148148,1,1,2,2,12,0,0,6,0,0,0,84,0,0,0,0,0,0,0,5.4650712962963,4.0027002297915,8
