egg,mandible,hardhat,knight,papillosaur,startLife,hasGlove,hasGlove2,hasBomb,pitfalls,spikes,grass,whiteRock,inside,surface,finished,swordHits,bombUsage,explodeHits,thrownHits,time,dirChange,lifeLost,clangs,uselessKeys,moving,standing,percStanding,avgAggro,killEgg,killMandible,killHardhat,killKnight,free,freezed,grabbing,hurt,stairs,loading,spin,swing,tap,carry,lift,treasure,useItem,falling,backOnFeet,prediction,intention,reported
1,0,0,0,0,24,0,0,0,0,0,0,0,0,148,1,3,0,0,0,6,0,0,0,0,5,23,0.82142857142857,0.71428571428571,1,0,0,0,3,0,0,0,0,1,0,9,0,0,0,0,0,0,0,1.6264,1,4
0,1,0,0,0,24,0,0,0,0,0,0,0,0,128,1,3,0,0,0,8,3,0,0,0,2,33,0.94285714285714,0.31428571428571,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1.1102,1,4
0,0,1,0,0,24,0,0,0,0,0,0,0,0,80,1,3,0,0,0,32,15,2,0,0,15,145,0.90625,0.1375,0,0,1,0,6,0,0,1,0,1,0,6,1,0,0,0,0,0,0,-1.28,1,3
0,0,0,1,0,22,0,0,0,0,0,0,0,0,204,1,3,0,0,0,8,5,0,2,0,5,32,0.86486486486486,0.59459459459459,0,0,0,1,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1.2607,1,3
1,0,1,0,0,20,0,0,0,0,0,0,4,0,252,1,6,0,0,0,25,9,4,0,0,14,109,0.88617886178862,0.35772357723577,1,0,1,0,5,0,0,2,0,1,0,16,0,0,0,0,0,0,0,1.095,3.189459375,6
1,1,1,0,0,16,1,0,0,0,0,0,4,0,252,1,9,0,0,0,24,14,12,0,0,7,113,0.94166666666667,1.0833333333333,1,1,1,0,11,0,4,6,0,0,0,14,0,0,0,0,0,0,0,3.3966,4.108416091954,6
2,1,2,1,0,4,1,0,0,0,0,4,0,0,296,-1,6,0,0,1,16,19,2,0,0,3,78,0.96296296296296,0.93827160493827,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1.3521,6.1041184210526,6
4,1,1,1,0,24,1,0,0,18,8,0,0,1,256,1,21,0,0,0,33,16,10,6,0,13,155,0.92261904761905,0.9047619047619,4,1,1,1,23,0,0,5,0,0,0,47,0,0,0,0,0,0,0,5.1098,5.0286235294118,5
0,0,1,0,0,20,1,0,1,18,8,0,0,1,256,1,3,0,0,0,14,2,10,0,0,1,69,0.98571428571429,0.8,0,0,1,0,6,0,0,5,0,0,0,5,0,0,0,0,0,0,0,2.7192,2.4558479638009,6
0,1,0,1,0,6,1,0,1,18,18,4,0,1,200,-1,5,0,0,0,27,11,4,2,0,29,102,0.77862595419847,0.36641221374046,0,1,0,0,7,0,0,3,0,0,0,16,0,0,0,0,0,0,0,1.6171,3.3041275102041,6
1,0,0,0,0,24,0,0,0,0,0,0,0,0,168,1,3,0,0,0,8,3,0,0,0,20,20,0.5,0.275,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1.4599,1,1
0,1,0,0,0,24,0,0,0,0,0,0,0,0,228,1,3,0,0,0,5,5,0,0,0,21,7,0.25,0.46428571428571,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1.8096,1,1
0,0,1,0,0,24,0,0,0,0,0,0,0,0,104,1,3,0,0,0,3,4,0,0,0,13,5,0.27777777777778,0.77777777777778,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1.8634,1,1
0,0,0,1,0,24,0,0,0,0,0,0,0,0,212,1,3,0,0,0,4,4,2,1,0,6,15,0.71428571428571,0.76190476190476,0,0,0,1,4,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2.1346,1,1
3,1,0,0,0,22,0,0,0,0,0,4,0,0,240,1,12,0,0,0,9,19,2,0,0,23,24,0.51063829787234,1.2340425531915,3,1,0,0,11,0,0,1,0,0,0,10,0,0,0,0,0,0,0,3.6265,2.0532,3
2,0,0,1,0,20,0,0,0,0,0,0,0,0,324,1,9,0,0,0,13,25,2,0,0,45,20,0.30769230769231,0.75384615384615,2,0,0,1,10,0,0,1,0,0,0,10,0,0,0,0,0,0,0,3.2385,3.24098,3
0,0,0,3,0,18,0,0,0,0,0,4,0,0,264,1,9,0,0,0,11,16,-2,0,0,25,32,0.56140350877193,1.0526315789474,0,0,0,3,9,0,0,1,0,0,0,9,0,0,0,0,0,0,0,2.8745,4.1153785714286,4
3,1,2,1,0,20,0,0,0,0,0,4,0,0,356,1,21,0,0,0,23,31,4,2,0,48,64,0.57142857142857,1.4732142857143,3,1,2,1,22,0,0,4,0,0,0,21,0,0,0,0,0,0,0,5.9875,5.3752039823009,5
0,0,1,1,0,16,0,0,0,0,0,0,4,0,264,1,6,0,0,0,8,10,0,0,0,16,23,0.58974358974359,0.82051282051282,0,0,1,1,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1.9984,2.6197837681159,2
1,1,1,2,0,16,1,0,0,0,0,0,0,0,320,1,15,0,0,0,23,26,4,1,0,35,79,0.69298245614035,0.71052631578947,1,1,1,2,19,0,0,2,0,0,0,18,0,0,0,0,0,0,0,3.4712,4.3674733861386,3
1,2,2,3,0,12,1,0,0,16,4,0,0,1,232,1,24,0,0,0,22,28,6,6,0,38,72,0.65454545454545,1.6545454545455,1,2,2,3,24,0,0,3,0,0,0,24,0,0,0,0,0,0,0,5.8925,5.4648019239083,5
0,1,0,1,0,6,1,0,1,16,4,0,0,1,232,1,6,0,0,0,12,24,0,2,0,34,29,0.46031746031746,0.71428571428571,0,1,0,1,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2.043,2.212301786994,3
1,0,1,1,0,6,1,0,1,12,26,4,0,1,208,1,9,0,0,0,13,14,2,0,0,17,47,0.734375,1.0625,1,0,1,1,8,0,0,0,0,0,0,8,0,0,0,0,0,1,1,1.9308,3.1048055766508,4
1,1,1,2,0,8,1,0,1,32,32,0,4,1,244,1,11,1,2,0,21,43,-8,0,0,49,57,0.5377358490566,0.90566037735849,1,1,1,2,13,0,0,0,0,0,0,11,0,1,1,0,1,0,0,2.1158,4.0193906701421,3
0,3,2,3,0,16,1,0,1,8,4,0,0,1,196,1,24,0,0,0,18,25,8,5,0,34,56,0.62222222222222,2.0666666666667,0,3,2,3,23,0,0,4,0,0,0,22,0,0,0,0,0,0,0,6.7395,5.1348312277127,5
0,1,0,1,0,8,1,0,1,18,20,0,4,1,228,1,6,0,0,0,9,15,0,0,0,32,14,0.30434782608696,1.1521739130435,0,1,0,1,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2.2817,2.3847866566716,3
2,0,0,2,0,8,1,0,1,8,22,0,0,1,284,1,10,1,1,0,21,21,0,4,1,28,74,0.72549019607843,0.79411764705882,2,0,0,2,13,0,0,0,0,0,0,12,0,1,1,0,1,0,0,1.5345,3.0698702323865,3
0,0,0,0,1,8,1,0,1,0,0,0,0,1,3744,1,0,3,3,0,14,23,0,0,0,57,15,0.20833333333333,2.5972222222222,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0.9752,6,3
0,1,0,0,0,22,0,0,0,0,0,0,0,0,128,1,3,0,0,0,6,8,4,0,0,16,14,0.46666666666667,0.76666666666667,0,1,0,0,3,0,0,2,0,0,0,15,0,0,0,0,0,0,0,3.1137,1,1
0,0,1,0,0,18,0,0,0,0,0,0,0,0,132,1,3,0,0,0,7,3,2,0,0,13,20,0.60606060606061,0.63636363636364,0,0,1,0,5,0,0,1,0,0,0,11,0,0,0,0,0,0,0,2.2885,1,2
0,0,0,1,0,16,0,0,0,0,0,0,0,0,96,1,3,0,0,0,3,0,2,0,0,5,12,0.70588235294118,0.70588235294118,0,0,0,1,1,0,0,1,0,0,0,10,0,0,0,0,0,0,0,2.4625,1,1
0,0,1,0,0,14,0,0,0,0,0,4,0,0,292,1,3,0,0,0,10,13,2,0,0,30,19,0.38775510204082,0.61224489795918,0,0,1,0,8,0,0,1,0,0,0,11,0,0,0,0,0,0,0,2.3154,2.2885,1
0,1,0,0,0,12,0,0,0,0,0,0,4,0,328,1,3,0,0,0,5,4,0,0,0,16,13,0.44827586206897,0.62068965517241,0,1,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1.8954,3.1137,1
0,0,1,2,0,12,1,0,0,0,0,0,4,0,328,1,9,0,0,0,15,10,4,3,0,27,47,0.63513513513514,1.0135135135135,0,0,1,2,9,0,0,2,0,0,0,29,0,0,0,0,0,0,0,3.794,4.46955,2
0,1,3,1,0,8,1,0,0,0,0,4,0,0,300,1,15,0,0,0,36,50,0,0,0,74,108,0.59340659340659,0.57692307692308,0,1,3,1,23,0,0,2,0,0,0,43,0,0,0,0,0,0,0,3.7211,5.5403289473684,3
0,0,1,0,0,8,1,0,0,0,0,4,0,0,252,1,3,0,0,0,7,5,2,0,0,12,22,0.64705882352941,0.67647058823529,0,0,1,0,7,0,0,1,0,0,0,7,0,0,0,0,0,0,0,2.0699,2.0871084057971,2
0,1,3,0,0,6,1,0,0,0,0,0,0,0,304,1,12,0,0,0,16,12,2,0,0,32,43,0.57333333333333,1.3466666666667,0,1,3,0,14,0,0,1,0,0,0,20,0,0,0,0,0,0,0,3.5274,3.1497276150628,3
2,1,0,1,0,8,1,0,0,0,0,0,0,0,220,1,12,0,0,0,18,16,2,1,0,28,62,0.68888888888889,0.95555555555556,2,1,0,1,7,0,0,1,0,0,0,35,0,0,0,0,0,0,0,3.6343,4.493716,3
2,2,3,1,0,6,1,0,0,30,8,4,0,1,252,-1,8,0,0,0,8,6,4,4,0,13,22,0.62857142857143,4.8571428571429,0,0,1,0,6,0,0,2,0,0,0,15,0,0,0,0,0,1,1,3.7245,5.2275577014925,3
2,5,1,1,0,24,1,0,0,2,20,0,4,1,256,1,27,0,0,0,28,21,10,1,0,30,110,0.78571428571429,1.5142857142857,2,5,1,1,13,0,0,5,0,0,0,71,0,0,0,0,0,0,0,8.3003,6.1113838175201,4
0,0,0,0,0,14,1,0,0,12,4,4,0,1,244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3787,2.0899634837651,1
1,0,0,1,0,14,1,0,0,12,14,0,0,1,240,1,6,0,0,0,18,15,-2,10,0,25,66,0.72527472527473,0.73626373626374,1,0,0,1,7,0,0,1,0,0,0,38,0,0,0,0,0,0,0,2.6591,3.8056876879547,2
2,0,0,1,0,20,1,0,1,12,14,0,0,1,240,1,9,0,0,0,7,2,0,0,0,6,25,0.80645161290323,1.9032258064516,2,0,0,1,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2.7698,4.8501627492104,3
1,0,2,1,0,20,1,0,1,12,14,0,0,1,240,1,12,0,0,0,19,17,4,0,0,19,71,0.78888888888889,1.1555555555556,1,0,2,1,13,0,0,2,0,0,0,26,0,0,0,0,0,0,0,3.5204,5.8830885268549,3
0,0,0,0,0,16,1,0,1,20,4,4,0,1,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3787,2.0278202028779,2
