experience,egg,mandible,hardhat,knight,papillosaur,startLife,hasGlove,hasGlove2,hasBomb,pitfalls,spikes,grass,whiteRock,inside,surface,finished,swordHits,bombUsage,explodeHits,thrownHits,time,dirChange,lifeLost,clangs,uselessKeys,moving,standing,percStanding,avgAggro,killEgg,killMandible,killHardhat,killKnight,free,freezed,grabbing,hurt,stairs,loading,spin,swing,tap,carry,lift,treasure,useItem,falling,backOnFeet,prediction,intention,reported
1,1,0,0,0,0,24,0,0,0,0,0,0,0,0,208,1,3,0,0,0,19,11,8,0,0,27,68,0.71578947368421,0.44210526315789,1,0,0,0,7,0,0,4,0,0,0,3,0,0,0,0,0,0,0,2.1647,1,1
1,0,1,0,0,0,16,0,0,0,0,0,0,0,0,200,1,3,0,0,0,6,2,2,0,1,6,26,0.8125,0.625,0,1,0,0,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1.7975,1,1
1,0,0,1,0,0,14,0,0,0,0,0,0,0,0,184,1,3,0,0,0,6,1,2,0,1,7,20,0.74074074074074,0.66666666666667,0,0,1,0,4,0,0,1,0,0,0,5,0,0,0,0,0,0,0,2.0413,1,1
1,0,0,0,1,0,12,0,0,0,0,0,0,0,0,228,1,3,0,0,0,16,4,2,0,0,11,65,0.85526315789474,0.73684210526316,0,0,0,1,4,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0.7896,1,1
1,0,2,0,0,0,10,0,0,0,0,0,4,0,0,284,1,6,0,0,0,18,12,6,0,0,25,64,0.71910112359551,0.48314606741573,0,2,0,0,10,0,0,3,0,0,0,9,0,0,0,0,0,0,0,2.5161,2.2163,2
1,1,2,0,0,0,4,0,0,0,0,0,4,0,0,200,1,9,0,0,0,11,3,0,0,0,5,51,0.91071428571429,1.0714285714286,1,2,0,0,8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2.0704,3.3021,1
1,0,1,0,0,0,4,0,0,0,0,0,4,0,0,200,1,3,0,0,0,5,3,2,0,0,5,21,0.80769230769231,0.73076923076923,0,1,0,0,4,0,0,1,0,0,0,7,0,0,0,0,0,0,0,2.0968,2.0603794762485,1
1,0,1,0,1,0,2,0,0,0,0,0,4,0,0,256,-1,2,0,0,0,5,6,0,0,0,9,15,0.625,0.25,0,0,0,0,3,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1.9694,3.0664588026383,3
1,1,1,1,0,0,18,0,0,0,0,0,0,4,0,284,1,9,0,0,0,16,4,2,0,0,11,68,0.86075949367089,0.78481012658228,1,1,1,0,8,0,0,1,0,0,0,33,0,0,0,0,0,0,0,2.8949,4.0663093017393,2
1,0,1,0,1,0,14,1,0,0,0,0,0,4,0,284,1,6,0,0,0,29,11,10,19,0,29,118,0.80272108843537,0.86394557823129,0,1,0,1,15,0,0,5,0,2,0,76,0,0,0,0,0,0,0,4.8219,3.0572595956845,6
