experience,egg,mandible,hardhat,knight,papillosaur,startLife,hasGlove,hasGlove2,hasBomb,pitfalls,spikes,grass,whiteRock,inside,surface,finished,swordHits,bombUsage,explodeHits,thrownHits,time,dirChange,lifeLost,clangs,uselessKeys,moving,standing,percStanding,avgAggro,killEgg,killMandible,killHardhat,killKnight,free,freezed,grabbing,hurt,stairs,loading,spin,swing,tap,carry,lift,treasure,useItem,falling,backOnFeet,prediction,intention,reported
2,1,0,0,0,0,24,0,0,0,0,0,0,0,0,168,1,3,0,0,0,8,3,0,0,0,20,20,0.5,0.275,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1.4599,1,1
2,0,1,0,0,0,24,0,0,0,0,0,0,0,0,228,1,3,0,0,0,5,5,0,0,0,21,7,0.25,0.46428571428571,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1.8096,1,1
2,0,0,1,0,0,24,0,0,0,0,0,0,0,0,104,1,3,0,0,0,3,4,0,0,0,13,5,0.27777777777778,0.77777777777778,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1.8634,1,1
2,0,0,0,1,0,24,0,0,0,0,0,0,0,0,212,1,3,0,0,0,4,4,2,1,0,6,15,0.71428571428571,0.76190476190476,0,0,0,1,4,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2.1346,1,1
2,3,1,0,0,0,22,0,0,0,0,0,4,0,0,240,1,12,0,0,0,9,19,2,0,0,23,24,0.51063829787234,1.2340425531915,3,1,0,0,11,0,0,1,0,0,0,10,0,0,0,0,0,0,0,3.6265,2.0532,3
2,2,0,0,1,0,20,0,0,0,0,0,0,0,0,324,1,9,0,0,0,13,25,2,0,0,45,20,0.30769230769231,0.75384615384615,2,0,0,1,10,0,0,1,0,0,0,10,0,0,0,0,0,0,0,3.2385,3.24098,3
2,0,0,0,3,0,18,0,0,0,0,0,4,0,0,264,1,9,0,0,0,11,16,-2,0,0,25,32,0.56140350877193,1.0526315789474,0,0,0,3,9,0,0,1,0,0,0,9,0,0,0,0,0,0,0,2.8745,4.1153785714286,4
2,3,1,2,1,0,20,0,0,0,0,0,4,0,0,356,1,21,0,0,0,23,31,4,2,0,48,64,0.57142857142857,1.4732142857143,3,1,2,1,22,0,0,4,0,0,0,21,0,0,0,0,0,0,0,5.9875,5.3752039823009,5
2,0,0,1,1,0,16,0,0,0,0,0,0,4,0,264,1,6,0,0,0,8,10,0,0,0,16,23,0.58974358974359,0.82051282051282,0,0,1,1,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1.9984,2.6197837681159,2
2,1,1,1,2,0,16,1,0,0,0,0,0,0,0,320,1,15,0,0,0,23,26,4,1,0,35,79,0.69298245614035,0.71052631578947,1,1,1,2,19,0,0,2,0,0,0,18,0,0,0,0,0,0,0,3.4712,4.3674733861386,3
2,1,2,2,3,0,12,1,0,0,16,4,0,0,1,232,1,24,0,0,0,22,28,6,6,0,38,72,0.65454545454545,1.6545454545455,1,2,2,3,24,0,0,3,0,0,0,24,0,0,0,0,0,0,0,5.8925,5.4648019239083,5
2,0,1,0,1,0,6,1,0,1,16,4,0,0,1,232,1,6,0,0,0,12,24,0,2,0,34,29,0.46031746031746,0.71428571428571,0,1,0,1,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2.043,2.212301786994,3
2,1,0,1,1,0,6,1,0,1,12,26,4,0,1,208,1,9,0,0,0,13,14,2,0,0,17,47,0.734375,1.0625,1,0,1,1,8,0,0,0,0,0,0,8,0,0,0,0,0,1,1,1.9308,3.1048055766508,4
2,1,1,1,2,0,8,1,0,1,32,32,0,4,1,244,1,11,1,2,0,21,43,-8,0,0,49,57,0.5377358490566,0.90566037735849,1,1,1,2,13,0,0,0,0,0,0,11,0,1,1,0,1,0,0,2.1158,4.0193906701421,3
2,0,3,2,3,0,16,1,0,1,8,4,0,0,1,196,1,24,0,0,0,18,25,8,5,0,34,56,0.62222222222222,2.0666666666667,0,3,2,3,23,0,0,4,0,0,0,22,0,0,0,0,0,0,0,6.7395,5.1348312277127,5
2,0,1,0,1,0,8,1,0,1,18,20,0,4,1,228,1,6,0,0,0,9,15,0,0,0,32,14,0.30434782608696,1.1521739130435,0,1,0,1,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2.2817,2.3847866566716,3
2,2,0,0,2,0,8,1,0,1,8,22,0,0,1,284,1,10,1,1,0,21,21,0,4,1,28,74,0.72549019607843,0.79411764705882,2,0,0,2,13,0,0,0,0,0,0,12,0,1,1,0,1,0,0,1.5345,3.0698702323865,3
