experience,egg,mandible,hardhat,knight,papillosaur,startLife,hasGlove,hasGlove2,hasBomb,pitfalls,spikes,grass,whiteRock,inside,surface,finished,swordHits,bombUsage,explodeHits,thrownHits,time,dirChange,lifeLost,clangs,uselessKeys,moving,standing,percStanding,avgAggro,killEgg,killMandible,killHardhat,killKnight,free,freezed,grabbing,hurt,stairs,loading,spin,swing,tap,carry,lift,treasure,useItem,falling,backOnFeet,prediction,intention,reported
1,1,0,0,0,0,24,0,0,0,8,6,0,0,1,200,1,3,0,0,0,7,6,2,0,0,15,19,0.55882352941176,0.64705882352941,1,0,0,0,4,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2.5872794117647,1,1
1,0,1,0,0,0,22,0,0,0,24,10,4,0,1,252,1,3,0,0,0,4,4,0,0,0,8,12,0.6,0.7,0,1,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2.45408,1,1
1,0,0,1,0,0,22,0,0,0,30,8,4,0,1,388,1,3,0,0,0,5,7,0,0,0,11,11,0.5,0.95454545454545,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2.3715227272727,1,2
1,0,0,0,1,0,22,0,0,0,10,8,0,0,1,276,1,3,0,0,0,11,8,6,7,0,20,31,0.6078431372549,0.90196078431373,0,0,0,1,9,0,0,3,0,0,0,21,0,0,0,0,0,0,0,2.9147843137255,1,3
1,0,0,1,0,0,16,0,0,1,10,8,0,0,1,276,1,3,0,0,0,5,7,0,0,0,12,13,0.52,0.84,0,0,1,0,5,0,0,0,0,1,0,6,0,0,0,0,0,0,0,2.662976,2.3715227272727,2
1,0,1,1,0,0,16,0,0,1,20,10,4,0,1,192,1,5,0,0,0,9,8,0,0,0,17,27,0.61363636363636,0.68181818181818,0,1,1,0,6,0,0,0,0,1,1,7,0,0,0,0,0,0,0,2.8710386363636,3.0730293636364,2
1,1,1,1,1,0,16,0,0,1,16,14,0,0,1,216,1,12,0,0,0,11,11,6,7,0,16,42,0.72413793103448,1.8275862068966,1,1,1,1,12,0,0,3,0,0,0,28,0,0,0,0,0,0,0,3.6392310344828,4.5187907254902,4
1,0,0,0,0,0,24,0,0,1,0,0,4,0,0,188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8983,3.049899625296,1
1,2,1,0,0,0,24,0,0,1,0,0,0,0,0,284,1,9,0,0,0,13,12,4,0,0,28,37,0.56923076923077,0.86153846153846,2,1,0,0,8,0,0,2,0,0,0,23,0,0,0,0,0,0,0,3.20606,3.0725307871002,3
1,0,3,1,0,0,20,0,0,1,0,0,0,0,0,268,1,12,1,0,0,20,27,6,0,0,51,51,0.5,1.0196078431373,0,3,1,0,14,0,0,3,0,0,0,36,0,0,0,0,1,0,0,3.5378088235294,4.0172775577376,3
1,2,0,1,3,0,18,0,0,1,0,0,0,4,0,288,1,18,0,0,0,22,19,2,6,0,40,69,0.63302752293578,1.1376146788991,2,0,1,3,13,0,0,1,0,1,1,48,0,0,0,0,0,0,0,4.0041688073394,5.037783578379,3
1,0,0,0,0,0,16,1,0,1,0,0,0,4,0,288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8983,2.83865680376,1
1,1,1,0,0,0,20,1,0,1,0,0,4,0,0,324,1,4,0,0,1,10,19,4,0,0,25,25,0.5,0.86,1,1,0,0,6,0,0,2,0,0,0,12,0,0,0,0,0,0,0,2.773254,3.0810622796104,3
1,1,2,0,2,0,16,1,0,1,0,0,0,0,0,256,1,15,0,0,0,16,12,6,0,0,24,57,0.7037037037037,1.3086419753086,1,2,0,2,12,0,0,3,0,1,0,37,0,0,0,0,0,0,0,4.1563888888889,4.0555699124337,3
